European Currency High Yield (EUR)

Min.   : 6.313  
1st Qu.: 7.560  
Median :10.100  
Mean   :10.997  
3rd Qu.:13.038  
Max.   :27.873  

Yield;Frequenza
6.313;0.278551532033426
6.9470294117647;10.1671309192201
7.58105882352941;25.3481894150418
8.21508823529412;33.4261838440111
8.84911764705882;40.1114206128134
9.48314705882353;43.1754874651811
10.1171764705882;50.1392757660167
10.7512058823529;60.4456824512535
11.3852352941176;66.5738161559889
12.0192647058824;70.7520891364902
12.6532941176471;73.9554317548747
13.2873235294118;76.1838440111421
13.9213529411765;77.9944289693593
14.5553823529412;81.1977715877437
15.1894117647059;84.1225626740947
15.8234411764706;88.857938718663
16.4574705882353;91.6434540389972
17.0915;92.4791086350975
17.7255294117647;93.3147632311978
18.3595588235294;94.4289693593315
18.9935882352941;94.7075208913649
19.6276176470588;94.9860724233983
20.2616470588235;95.4038997214485
20.8956764705882;95.4038997214485
21.5297058823529;95.4038997214485
22.1637352941177;95.5431754874652
22.7977647058824;96.6573816155989
23.4317941176471;97.2144846796657
24.0658235294118;97.2144846796657
24.6998529411765;97.9108635097493
25.3338823529412;98.1894150417827
25.9679117647059;98.6072423398329
26.6019411764706;99.3036211699164
27.2359705882353;99.5821727019499
27.87;99.8607242339833
