United States Dollar Emerging Sovereign (USD)

Min.   :  5.655  
1st Qu.:  6.700  
Median :  6.946  
Mean   :  7.311  
3rd Qu.:  7.402  
Max.   : 14.006  
NA's   :366.000  

Yield;Frequenza
5.655;0.284090909090909
5.90073529411765;1.70454545454545
6.14647058823529;4.26136363636364
6.39220588235294;10.7954545454545
6.63794117647059;21.0227272727273
6.88367647058824;45.1704545454545
7.12941176470588;60.7954545454545
7.37514705882353;72.7272727272727
7.62088235294118;79.8295454545455
7.86661764705882;85.7954545454545
8.11235294117647;87.2159090909091
8.35808823529412;89.2045454545455
8.60382352941177;90.9090909090909
8.84955882352941;91.1931818181818
9.09529411764706;92.0454545454545
9.34102941176471;92.3295454545455
9.58676470588235;92.6136363636364
9.8325;93.1818181818182
10.0782352941176;93.4659090909091
10.3239705882353;94.0340909090909
10.5697058823529;96.3068181818182
10.8154411764706;96.875
11.0611764705882;97.4431818181818
11.3069117647059;97.4431818181818
11.5526470588235;97.7272727272727
11.7983823529412;98.0113636363636
12.0441176470588;98.0113636363636
12.2898529411765;98.8636363636364
12.5355882352941;99.1477272727273
12.7813235294118;99.1477272727273
13.0270588235294;99.4318181818182
13.2727941176471;99.7159090909091
13.5185294117647;99.7159090909091
13.7642647058824;99.7159090909091
14.01;100
