JPM EMBI Global Diversified Europe (USD)

Min.   : 4.452  
1st Qu.: 6.117  
Median : 7.078  
Mean   : 9.031  
3rd Qu.:11.174  
Max.   :19.764  

Yield;Frequenza
4.452;0.139275766016713
4.90223529411765;0.974930362116992
5.35247058823529;5.71030640668524
5.80270588235294;11.4206128133705
6.25294117647059;31.058495821727
6.70317647058824;44.7075208913649
7.15341176470588;50.8356545961003
7.60364705882353;54.0389972144847
8.05388235294118;58.0779944289694
8.50411764705882;61.0027855153203
8.95435294117647;61.4206128133705
9.40458823529412;64.066852367688
9.85482352941177;67.4094707520891
10.3050588235294;71.1699164345404
10.7552941176471;73.2590529247911
11.2055294117647;75.2089136490251
11.6557647058824;76.1838440111421
12.106;78.8300835654596
12.5562352941176;80.9192200557103
13.0064705882353;84.1225626740947
13.4567058823529;86.908077994429
13.9069411764706;87.6044568245125
14.3571764705882;87.883008356546
14.8074117647059;88.0222841225627
15.2576470588235;88.7186629526462
15.7078823529412;88.857938718663
16.1581176470588;89.2757660167131
16.6083529411765;89.8328690807799
17.0585882352941;90.9470752089136
17.5088235294118;92.2005571030641
17.9590588235294;94.4289693593315
18.4092941176471;97.9108635097493
18.8595294117647;98.7465181058496
19.3097647058824;99.3036211699164
19.76;99.8607242339833
