United States Treasury 5 - 7 Years (USD)

Min.   :0.973  
1st Qu.:3.566  
Median :4.636  
Mean   :4.354  
3rd Qu.:5.276  
Max.   :6.903  

Yield;Frequenza
0.973;0.139275766016713
1.14741176470588;0.417827298050139
1.32182352941176;1.1142061281337
1.49623529411765;1.53203342618384
1.67064705882353;2.22841225626741
1.84505882352941;3.89972144846797
2.01947058823529;5.43175487465181
2.19388235294118;7.38161559888579
2.36829411764706;9.19220055710306
2.54270588235294;12.2562674094708
2.71711764705882;15.1810584958217
2.89152941176471;18.1058495821727
3.06594117647059;19.91643454039
3.24035294117647;21.7270194986072
3.41476470588235;22.7019498607242
3.58917647058824;25.9052924791086
3.76358823529412;29.8050139275766
3.938;35.3760445682451
4.11241176470588;37.7437325905292
4.28682352941177;41.2256267409471
4.46123529411765;44.7075208913649
4.63564705882353;50
4.81005882352941;56.6852367688022
4.98447058823529;62.6740947075209
5.15888235294118;69.4986072423398
5.33329411764706;77.4373259052925
5.50770588235294;81.6155988857939
5.68211764705882;86.3509749303621
5.85652941176471;89.9721448467967
6.03094117647059;91.6434540389972
6.20535294117647;94.0111420612813
6.37976470588235;96.5181058495822
6.55417647058824;97.7715877437326
6.72858823529412;98.8857938718663
6.903;100
