United States High Yield Master II  (USD) spread

Min.   : 2.104  
1st Qu.: 3.571  
Median : 5.471  
Mean   : 5.973  
3rd Qu.: 7.437  
Max.   :20.191  

Yield;Frequenza
2.104;0.139275766016713
2.63594117647059;4.31754874651811
3.16788235294118;13.7883008356546
3.69982352941176;27.7158774373259
4.23176470588235;33.008356545961
4.76370588235294;38.9972144846797
5.29564705882353;46.9359331476323
5.82758823529412;55.4317548746518
6.35952941176471;63.2311977715877
6.89147058823529;70.4735376044568
7.42341176470588;74.6518105849582
7.95535294117647;82.7298050139276
8.48729411764706;87.3259052924791
9.01923529411765;90.2506963788301
9.55117647058823;92.4791086350975
10.0831176470588;93.8718662952646
10.6150588235294;94.9860724233983
11.147;95.125348189415
11.6789411764706;95.4038997214485
12.2108823529412;95.5431754874652
12.7428235294118;95.8217270194986
13.2747647058824;95.9610027855153
13.8067058823529;96.100278551532
14.3386470588235;96.100278551532
14.8705882352941;96.2395543175488
15.4025294117647;96.6573816155989
15.9344705882353;97.4930362116992
16.4664117647059;98.1894150417827
16.9983529411765;98.6072423398329
17.5302941176471;98.7465181058496
18.0622352941176;99.025069637883
18.5941764705882;99.1643454038997
19.1261176470588;99.4428969359331
19.6580588235294;99.5821727019499
20.19;99.8607242339833
