JPM EMBI Global Diversified Latin America (USD)

Min.   : 5.894  
1st Qu.: 7.165  
Median : 9.425  
Mean   : 9.548  
3rd Qu.:11.639  
Max.   :15.469  

Yield;Frequenza
5.894;0.139275766016713
6.17564705882353;1.53203342618384
6.45729411764706;3.89972144846797
6.73894117647059;10.4456824512535
7.02058823529412;18.5236768802228
7.30223529411765;29.8050139275766
7.58388235294118;37.6044568245125
7.86552941176471;39.2757660167131
8.14717647058824;39.6935933147632
8.42882352941177;40.3899721448468
8.71047058823529;40.5292479108635
8.99211764705882;43.3147632311978
9.27376470588235;46.7966573816156
9.55541176470588;51.3927576601671
9.83705882352941;54.1782729805014
10.1187058823529;57.6601671309192
10.4003529411765;60.0278551532033
10.682;62.9526462395543
10.9636470588235;65.7381615598886
11.2452941176471;69.4986072423398
11.5269411764706;72.7019498607242
11.8085882352941;78.133704735376
12.0902352941176;81.7548746518106
12.3718823529412;85.0974930362117
12.6535294117647;88.1615598885794
12.9351764705882;92.0612813370473
13.2168235294118;94.7075208913649
13.4984705882353;95.9610027855153
13.7801176470588;96.6573816155989
14.0617647058824;97.6323119777159
14.3434117647059;98.1894150417827
14.6250588235294;99.1643454038997
14.9067058823529;99.5821727019499
15.1883529411765;99.8607242339833
15.47;100
