Euro High Yield (EUR)  spread

Min.   : 2.164  
1st Qu.: 3.993  
Median : 6.343  
Mean   : 7.620  
3rd Qu.: 9.644  
Max.   :25.151  
NA's   :53.000  

Yield;Frequenza
2.164;0.150375939849624
2.84005882352941;5.11278195488722
3.51611764705882;12.9323308270677
4.19217647058823;29.3233082706767
4.86823529411765;33.0827067669173
5.54429411764706;38.6466165413534
6.22035294117647;47.9699248120301
6.89641176470588;56.9924812030075
7.57247058823529;63.7593984962406
8.2485294117647;66.4661654135338
8.92458823529412;71.578947368421
9.60064705882353;74.7368421052632
10.2767058823529;76.5413533834586
10.9527647058824;79.8496240601504
11.6288235294118;82.406015037594
12.3048823529412;86.3157894736842
12.9809411764706;89.3233082706767
13.657;91.2781954887218
14.3330588235294;91.8796992481203
15.0091176470588;91.8796992481203
15.6851764705882;93.5338345864662
16.3612352941176;94.4360902255639
17.0372941176471;95.0375939849624
17.7133529411765;95.0375939849624
18.3894117647059;95.0375939849624
19.0654705882353;95.187969924812
19.7415294117647;95.9398496240601
20.4175882352941;96.9924812030075
21.0936470588235;97.2932330827068
21.7697058823529;97.8947368421053
22.4457647058824;98.1954887218045
23.1218235294118;98.4962406015038
23.7978823529412;99.2481203007519
24.4739411764706;99.6992481203008
25.15;99.8496240601504
