Euro High Yield (EUR) 

Min.   : 6.030  
1st Qu.: 7.269  
Median : 9.768  
Mean   :10.954  
3rd Qu.:13.052  
Max.   :27.228  

Yield;Frequenza
6.03;0.139275766016713
6.65352941176471;9.05292479108635
7.27705882352941;25.2089136490251
7.90058823529412;32.8690807799443
8.52411764705882;39.9721448467967
9.14764705882353;43.0362116991643
9.77117647058824;50.1392757660167
10.3947058823529;55.5710306406685
11.0182352941176;64.4846796657382
11.6417647058824;69.0807799442897
12.2652941176471;72.5626740947075
12.8888235294118;74.6518105849582
13.5123529411765;76.4623955431755
14.1358823529412;77.8551532033426
14.7594117647059;79.9442896935933
15.3829411764706;82.033426183844
16.0064705882353;83.5654596100279
16.63;87.883008356546
17.2535294117647;91.5041782729805
17.8770588235294;92.7576601671309
18.5005882352941;93.0362116991644
19.1241176470588;93.7325905292479
19.7476470588235;94.5682451253482
20.3711764705882;95.4038997214485
20.9947058823529;95.4038997214485
21.6182352941176;95.8217270194986
22.2417647058824;96.5181058495822
22.8652941176471;97.075208913649
23.4888235294118;97.7715877437326
24.1123529411765;98.050139275766
24.7358823529412;98.3286908077994
25.3594117647059;98.7465181058496
25.9829411764706;99.025069637883
26.6064705882353;99.4428969359331
27.23;100
