European Monetary Union Corporate Expfand BBB (EUR)

Min.   :3.330  
1st Qu.:4.375  
Median :4.944  
Mean   :5.282  
3rd Qu.:6.194  
Max.   :9.461  

Yield;Frequenza
3.33;0.139275766016713
3.51032352941176;2.36768802228412
3.69064705882353;5.15320334261838
3.87097058823529;6.82451253481894
4.05129411764706;12.3955431754875
4.23161764705882;20.3342618384401
4.41194117647059;25.9052924791086
4.59226470588235;35.3760445682451
4.77258823529412;44.0111420612813
4.95291176470588;50.2785515320334
5.13323529411765;55.7103064066852
5.31355882352941;59.4707520891365
5.49388235294118;62.5348189415042
5.67420588235294;64.9025069637883
5.85452941176471;66.991643454039
6.03485294117647;70.891364902507
6.21517647058824;75.4874651810585
6.3955;82.033426183844
6.57582352941176;86.3509749303621
6.75614705882353;91.0863509749304
6.93647058823529;93.0362116991644
7.11679411764706;94.7075208913649
7.29711764705882;94.7075208913649
7.47744117647059;95.2646239554318
7.65776470588235;95.4038997214485
7.83808823529412;95.8217270194986
8.01841176470588;95.8217270194986
8.19873529411765;95.9610027855153
8.37905882352941;96.100278551532
8.55938235294118;96.5181058495822
8.73970588235294;97.9108635097493
8.9200294117647;98.8857938718663
9.10035294117647;99.4428969359331
9.28067647058824;99.5821727019499
9.461;100
