Portfolio,Buy_Sell,Id_Bloomberg,Security_name,Currency,Security_type,UBS_Sec_type,Quantity,ISIN_Ticker,Price,Order_type,Amount,Broker,,Security_name,Confirmed_quantity,Confirmed_price,Value_date
GLOBAL ECONOMY,Buy,nesnvx 2 08/05/13 corp,NESTLE FINANCE INTL LTD,CHF,Bond,STRAIGHT BOND,200000,CH0049524041,102.138,Limited,204276,Moxy,,NESTLE FINANCE INTL LTD,200000,102.138,05-07-2012
GLOBAL ECONOMY,Buy,eib 01/09/15 corp,EUROPEAN INVESTMENT BANK,EUR,Bond,STRAIGHT BOND,250000,XS0439139998,100.11,Market,250275,Moxy,,EUROPEAN INVESTMENT BANK,250000,100.11,05-07-2012
GLOBAL ECONOMY,Buy,nedwbk 4 03/12/13 corp,NEDER WATERSCHAPSBANK,EUR,Bond,STRAIGHT BOND,250000,XS0163939753,102.47,Market,256175,Moxy,,NEDER WATERSCHAPSBANK,250000,102.47,05-07-2012
