"","ID_strumento","ID_AAA","Strumento","Moneta","Nome"
"2",40,NA,"L","CHF","CHF-CallGeld Margin-CALL GELD"
"4",NA,NA,"F","CHF","Swiss Index Futures (SMI) Futures 16-03-2012                    "
"5",NA,NA,"F","USD","CBOE Volatility Index (VIX) Futures 20-01-2012                    "
"27",40,NA,"L","EUR","EUR-CallGeld Margin-CALL GELD"
"33",22,NA,"FX","CHF","CHF 3,088,750.00 11-01-12"
"34",22,NA,"FX","EUR","EUR -2,500,000.00 11-01-12"
"44",48,121,"PS","EUR","Bull Certificate EXANE SX5E Dividend Dec12"
"47",2,1689,"Oacc","EUR","0% >3Y Ex.Ellio.CV Fd J 3D 31-12-20 Pro-rata"
"48",2,1689,"O      ","EUR","0% >3Y Ex.Ellio.CV Fd J 3D 31-12-20"
