"id","equity","numeroValore","ticker"
656,"Mediolanum SpA","976622EU","MED.MI"
1573,"Texas Instrument Inc.","976910","palace16"
1577,"United Tech Corp","980943","palace20"
231,"Astra Zeneca Common Stock","982352","AZN.L"
31,"Vitesse Semi.","983748US","null19"
1034,"Walmart Stores","984101US","WMT"
402,"The Walt Disney","984192US","DIS"
1623,"Warner Lambert","984434","bigmac4"
34,"Warner Lambert","984434US","Warner Lambert"
1642,"Western Digital","985376","bigmac22"
1821,"Sector Spdr Trust Discretionary Select Sector","986013","bang5"
1815,"Sector Spdr Trust Energy Select Fund","986016","bang1"
1483,"S&P Sel Energy SPDR Fund","986016US","XLE"
1820,"Sector Trust Financial Selct","986018","bang4"
1633,"Alcoa Inc.","986052","bigmac13"
1645,"xerox","987530","bigmac25"
1831,"ENI Adr","990631333","umidita1"
1624,"MCKESSON HBOC","991041","bigmac5"
1603,"LODH Euro Credit Bond -A-","992515","palace45"
1607,"Mercury Selected Eur Markets Fund","995890","palace48"
1719,"PLANETARIUM FUND CHF BOND","996018","bianchi10"
1829,"S&P500","998434","bang7"
1970,"IMMOFINANZ AG","AT0000809058","IIA.VIE"
1963,"CLEAN SEAS FPO","AU000000CSS3","CSS.AX"
1986,"TELSTRA FPO","AU000000TLS2","TLS.AX"
487,"Artilium","B1L7NQ3","ARTA.L"
1671,"GLS OFFSHORE GLOBAL OFF. FUND CLASS B S.15","battle1","battle5"
2238,"Anheuser Busch InBev","BE0003793107","ABI.BRU"
1958,"CAMECO CORP","CA13321L1085","CCO.TO"
1784,"Franco-Nevada","CA3518581051","FNV.TO"
1971,"INTL MINERALS N","CA4598751002","IMZ.S"
1981,"POWER FINANCIAL CORP.","CA73927C1005","PWF.TO"
1984,"SUNCOR ENERGY  INC. CO","CA8672241079","SU.N"
1956,"Lagerhäuser der Centralschweiz, Baden","CH0002012190","201219.BEKB"
1960,"CITRON I","CH0006242272","CIT.SBX"
1977,"NEW VENTURE I","CH0007036830","NEV.S"
208,"Absolute Private Equity AG","CH0011113336","ABSP-USD.S"
1969,"HBM N","CH0012627250","HBMN.S"
1976,"NOBLE CORPORATION  NEW","CH0033347318","NE.N"
274,"BMW Common Stock","DE0005190003","BMW.XE"
1965,"CONSTANTIN MEDIEN AG O.N.","DE0009147207","EV4.XE"
2241,"Aixtron","DE000A0WMPJ6","AIXA.XE"
1978,"PORSCHE AUTOM.HLDG VZO","DE000PAH0038","PAH3.XE"
2237,"Industria de Diseno Textil","ES0148396015","ITX.MAC"
1955,"SAMPO OYJ SAMPO A ORD SHS","FI0009003305","0HAG.LI"
567,"Imperial Tobacco Common Stock","GB0004544929","IMT.L"
1975,"MORRISON(WM.)SUPERMARKETS PLC ORD 10P","GB0006043169","MRW.L"
819,"Rio Tinto Common Stock","GB0007188757","RIO.L"
1989,"XSTRATA PLC ORD USD0.50","GB0031411001","XTA.L"
2236,"Reed Elsevier","GB00B2B0DG97","REL.L"
1972,"Indofood Sukses Makmur Tbk","ID1000057003","INDF.JA"
2223,"De Longhi","IT0003115950","DLG.MI"
1962,"COSMO N","IT0004167463","COPN.S"
2226,"Piquadro","IT0004240443","PQ.MI"
2224,"Damiani","IT0004249329","DMN.MI"
1985,"LOGWIN AG","LU0106198319","TGH.XE"
1693,"MELLON GO SERIES","MELLGO535","battle24"
534,"Heineken NV Common Stock","NL0000009165","HEIA.AS"
1987,"TOMTOM","NL0000387058","TOM2.AS"
2167,"Burani Designer","NL0000886521","NL0000886521"
1683,"PARADIGM GLOBAL FUND 1 USD","paradigm1","battle15"
2232,"Aflac","US0010551028","AFL.N"
1957,"BIG LOTS  INC. COMMON","US0893021032","BIG.N"
235,"The Boeing Co Common Stock","US0970231058","BA"
2165,"Chevron","US1667641005","CVX.N"
2198,"Coach","US1897541041","COH.N"
1959,"COEUR D ALENE MINES CO","US1921085049","CDE.N"
1961,"CONOCOPHILLIPS COMMON","US20825C1045","COP.N"
509,"Corning Inc Common Stock","US2193501051","GLW"
1964,"DIRECTV - CMN STK","US25490A1016","DTV.O"
1966,"FOREST LABORATORIES  I","US3458381064","FRX.N"
1967,"GOLD FIELDS LTD. AMERI","US38059T1060","GFI.N"
1968,"GOLDMAN SACHS GROUP  I","US38141G1040","GS.N"
585,"JP Morgan Common Stock","US46625H1005","JPM"
1974,"METLIFE  INC. COMMON S","US59156R1086","MET.N"
749,"PG&E Common Stock","US69331C1080","PCG"
1979,"POSCO COMMON STOCK","US6934831099","PKX.N"
1980,"PHILIP MORRIS INTERNAT","US7181721090","PM.N"
1982,"POWERSHARES QQQ TRUST","US73935A1043","QQQQ.O"
1983,"Semiconductor Holdrs","US8166362033","HO4.GBE"
2227,"Sony","US8356993076","SNE.N"
1988,"THE TRAVELERS COMPANIE","US89417E1091","TRV.N"
2196,"Western Digital","US9581021055","WDC.N"
