"id","equity","numeroValore","ticker"
1339,"Wyeth","1382944US","WYE"
626,"LONZA GROUP AG Common Stock","1384101CH","LONN.S"
1068,"TRAVELER PROP CASUALITY CORP - A -","1387479US","TAP-A"
1144,"Telecom Italia Media","1389920EU","TME.MI"
855,"Schindler Gs","1391410CH","SCHP.S"
1597,"BDG Cert DJ EUROSTOXX50 Index","1392118","palace39"
1664,"3M CO","1405105","bigmac42"
1074,"Agere Systems Inc","1416618US","AGR-B"
1560,"Parkervision Inc","141805","palace3"
379,"Alusuisse N","141832CH","ALUSn"
868,"Siegfried N","1428449CH","SFZN.S"
1093,"Medco Health Solutions","1430073US","MHS"
1674,"TALENTUM ACTIVEDGE FUND LTD","1439237","battle8"
1574,"BB Biotech AG","144158","palace17"
1487,"DJ ST.600 IND.GOODS+S.EX","1461747EU","EXH4.XE"
1071,"TRAVELERS PROPERTY CASUALTIY GROUP -B-","1467171US","TAP-B"
1772,"Kontron AG","1469452EU","KBC.XE"
799,"Swiss Life Holding","1485278CH","SLHN.S"
1672,"SAM THE EVENT DRIVEN FUND CLASS USD","1488096","battle6"
1676,"MAN MULTI-STRATEGY CH FUND","1506891","battle10"
340,"Comcast Corp A","1508590US","CMCSA"
1431,"Lernout & Hauspie","151044US","LHSPQ.OI"
1679,"THAMES RIVER EDO FUND","1526653","battle 12"
1675,"SILVER SHIELD FUND","1549985","battle9"
1615,"BDG Open End Cert. S&P 500","1568354","palace55"
328,"EMS-CHEMIE HLD SA","158703CH","EMSN.S"
1352,"Info Architects","1592652US","IKU.GBE"
827,"Rolls-Royce Common Stock","1593103","RR..L"
1817,"Merril Lynch Sicav-Global Fundamental Value Fund","1597095","bang2"
942,"Telecom Ita Risp","1602293EU","TITR.MI"
1695,"ABSOLUTE RETURN EUROPE FUND RED PART SHS USD","1618006","battle26"
1670,"FAIRFIELD REDSTONE FUND-A1","1620042","battle4"
1677,"PAULSON INTERNATIONAL LTD SERIES 1","1632996","battle11"
1636,"Stressgen Biotech. ""A""","163427","bigmac16"
941,"Telecom Italia Common Stock","1642910EU","TIT.MI"
395,"Dell Inc.","1647069US","DELL"
1694,"THE NEOM GLOBAL MACRO FUND CLASS B USD","1648509","battle25"
1134,"Antena 3 TV","1689696EU","A3TV.MAC"
320,"Travelers Group Inc.","169016US","null4"
205,"Time Warner Inc.","1700642US","TWX"
327,"Lindt Spruengli","172007CH","null22"
1586,"Integrated silicon solution inc.","172043","palace28"
467,"Fischer N","175230CH","FI-N.S"
2231,"Cobacrest","1786595","ABT.GBE"
1682,"FOCUS ENHANCED ARBITRAGE FUND CALSS A","1817529","battle14"
1526,"Deutsche Postbank","1857493EU","DPB.XE"
1707,"Synthes","1863105CH","SYST.S"
1681,"YORK INVESTMENT LTD CLASS A","1869258","battle13"
151,"Acerinox SA Common Stock","1876417EU","ACX.MAC"
635,"Las Vegas Sands","1946078US","LVS"
1689,"PARADIGM GLOBAL FUND I LTD CLASS I USD","1973896","battle20"
1948,"Ferrovial","1978482EU","FER.MAC"
