"INDEX","Convertible Bonds Arbitrage","CTA Long Term","CTA Short Term","Event Driven - Distressed","Event Driven - Merger Arbitrage","Event Driven - Special Situations","Fixed Income Arbitrage","Global Macro","L/S Credit Arbitrage","L/S Equity - Long Bias","L/S Equity - Market Neutral","L/S Equity - Short Bias","L/S Equity - Variable Bias","Statistical Arbitrage","COMPOSITE","Emerging Markets","Top 10","Credit Strategies"
04/02/2002,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
04/09/2002,1000,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
04/16/2002,998.975824928418,994.185110424421,1000,1000,1002.69271631872,1000.62259603303,1003.95152715569,999.493146077569,1000,1010.01206354667,1001.05253075362,995.020920220219,1006.08903557144,1005.10051054405,1002.16106417321,1000,1003.14760969848,1001.40277887166
04/23/2002,1006.54210652143,1000.47980841926,1000,1000,1002.92351543454,1001.56008354082,1004.39058504852,999.831029435973,1000,1017.73492374205,1005.83676182312,999.800852629709,1007.15873432905,1001.50015099859,1005.64032972702,1000,1006.76815113449,1004.5084735741
04/30/2002,1007.07482435983,1003.07911972269,1000,1000,1003.30818437778,1010.7104046249,1005.00526640497,996.11417382209,1000,1020.33541774874,1004.78423086077,1003.68454919092,1005.51305416361,990.299031378889,1009.72715843478,1000,1010.67013282461,1002.90610698703
05/07/2002,1004.81746766596,1013.61293654359,1000,1000,1001.9233503227,1016.04474678562,1008.78117010119,1003.97021899293,1000,1024.2429289697,1009.28140806021,1017.12809435671,1004.93706873034,998.099811954774,1013.6609184916,1000,1013.9966130956,1007.41420300094
05/14/2002,1000.56721247174,1000.87222595651,1000,1000,1001.30786539049,1015.51396259282,1007.81524029132,1007.51810409231,1000,1022.52495318869,1008.03750785125,995.22011581561,1013.33006215235,995.899592426758,1011.77874859629,1000,1012.74749609516,1004.40943523523
05/21/2002,1007.20406484636,1027.96255203788,1000,1000,1004.06334595325,1020.53425934283,1009.92125525949,1010.44391242691,1000,1023.0240156884,1008.15431646199,1003.8534574949,1011.60782334552,1003.80434281827,1016.38572685961,1000,1016.60090364086,1015.57610072339
05/28/2002,1005.47354520664,1035.95840053112,1000,1000,999.394337212629,1020.88040408377,1012.55377396988,1006.26418632225,1000,1025.34141284892,1008.33889249861,1003.25113151764,1009.15985569737,996.700073481129,1016.71359614568,1000,1017.6326579862,1012.15568218578
06/04/2002,1004.995869387,1077.83096326579,1000,1000,1001.46094763383,1022.88896319387,1016.50255203583,1005.01026851621,1000,1020.49133877487,1010.57428042549,1016.20114394734,1008.70699372687,993.19796887887,1019.41600333183,1000,1019.25740931418,1013.8658932022
06/11/2002,1009.00664285815,1064.41878406596,1000,1000,1001.53748875722,1019.23098295291,1018.95956949882,1000.66335336612,1000,1021.82592829348,1010.05458366241,1014.49455335704,1009.86624818538,990.696465591858,1018.19886458804,1000,1018.45079497777,1015.67670479822
06/18/2002,1014.64900084672,1062.97538861884,1000,1000,996.831565551183,1011.57960133309,1020.01257628615,983.525846707995,1000,1013.35253359742,1008.31552039374,1009.27017248404,1011.24610425686,994.498754813844,1014.77643920451,1000,1014.08789661144,1019.29837299735
06/25/2002,1019.83189999571,1121.6012143843,1000,1000,991.116510818717,1016.33685730916,1028.17337888796,980.349138156864,1000,1008.879190974,1011.22608959456,1033.66470124479,1014.28718513478,965.781465163611,1020.56239713422,1000,1018.92081835824,1020.40499383291
