"","assetClass","benchmark","Moneta","Pesi"
"1","CLASS SHORT TERM","Euro Cash 3M","EUR",0.286934704084557
"2","CLASS GOVERNMENT BOND","European Monetary Union Government 1 - 3 Years (E)","EUR",0.29650227969069
"3","CLASS CORPORATE INV. GRADE","European Monetary Union Financial Corps (E)","EUR",0.259690079549805
"4","CLASS CORPORATE INV. GRADE","European Monetary Union Corporate Excluding Pfand. BBB (E)","EUR",0.156872936674948
