Categoria,Moneta,Nome,Quantita,Valore EUR
Azioni e simili,USD,Emerson Electric Common Stock,2303,88230.6489444879
Azioni e simili,USD,ETFS Metal Platinum,1694,202114.464425332
Azioni e simili,USD,Exxon Mobil Corp Common Stock,2254,104617.385741702
Azioni e simili,USD,F.TEM.INV-T.AS.GWTH A ACC (Frankfurt),5000,89025.5170943209
Azioni e simili,USD,FOREST LABORATORIES  I,4229,99795.8632454332
Azioni e simili,USD,General Electric,16202,197616.262705238
Azioni e simili,USD,GOLD FIELDS LTD. AMERI,10000,112943.350629043
Azioni e simili,USD,GOLDMAN SACHS GROUP  I,577,62170.3248276352
Azioni e simili,USD,Hewlett - Packard Co,4458,133496.012509773
Azioni e simili,USD,IBM,1377,138492.785556898
Azioni e simili,USD,Intel Corp.,12367,169827.59257943
Azioni e simili,USD,Ipath ETF S&P500 VIX,5400,56421.9205345085
Azioni e simili,USD,IS MSCI INDIA 100US$,24000,143464.354254034
Azioni e simili,USD,ISHARES DJ OIL&GAS Exploration,25000,972350.557964319
Azioni e simili,USD,iShares MSCI Emerging Mkt Index,6400,212779.870637572
Azioni e simili,USD,iShares MSCI Jap Indx,76670,556946.051602815
Azioni e simili,USD,Ishares MSCI Pac Ex-Ja,11807,389734.224180823
Azioni e simili,USD,ISHARES Russel 2000,2200,110289.288506646
Azioni e simili,USD,ISHARES S&P MIDCAP400 Gwth Index,17000,1084839.00774753
Azioni e simili,USD,ISHARES Tr.-DJ Transport Average,20000,1206908.80659606
Azioni e simili,USD,Johnson & Johnson,1346,60980.9083801265
Azioni e simili,USD,JP Morgan Common Stock,4077,112205.16028147
Azioni e simili,USD,Kimberly Clark Common Stock,2503,118202.658326818
Azioni e simili,USD,Legg Mason Emerging Markets Equity Fund A acc-USD,2328,610237.486672827
Azioni e simili,USD,Lockheed Martin Common Stock,1711,85373.6583978961
Azioni e simili,USD,Loews Corp Common Stock,3096,87583.1971000071
Azioni e simili,USD,Lyxor ETF MSCI India,14000,178420.64112588
Azioni e simili,USD,MARKET VECTORS RUSSIA,7600,184962.68391499
Azioni e simili,USD,Merck & Co,2277,60125.488663018
Azioni e simili,USD,METLIFE  INC. COMMON S,2269,63930.0305636506
Azioni e simili,USD,Microsoft Corp,4846,86903.5325893809
Azioni e simili,USD,Nike Inc Common Stock,1287,74801.3291634089
Azioni e simili,USD,NOBLE CORPORATION  NEW,2416,61219.9872059137
Azioni e simili,USD,Norfolk Southern Common Stock,2110,92654.6307484541
Azioni e simili,USD,Occidental Common Stock,1749,105556.606724003
Azioni e simili,USD,Oracle Corp Common Stock,6003,120879.230933258
Azioni e simili,USD,Pfizer,15655,196508.138460445
Azioni e simili,USD,PG&E Common Stock,975,32356.7773118203
Azioni e simili,USD,PHILIP MORRIS INTERNAT,3318,136196.247068022
Azioni e simili,USD,Pictet-Emerging Markets Index -I USD,10000,1873409.62399602
Azioni e simili,USD,POWERSHARES QQQ TRUST,68000,2436960.69372379
Azioni e simili,USD,S&P Sel Health Care SPDR Fund,5072,111829.867083659
Azioni e simili,USD,Semiconductor Holdrs,11000,220547.302580141
Azioni e simili,USD,Sony,2500,57253.5361432938
Azioni e simili,USD,SPDR Trust Select Sector Materials,1359,33315.7367261355
Azioni e simili,USD,SPY,20300,1694816.97348781
Azioni e simili,USD,SUNCOR ENERGY  INC. CO,2750,67474.5895230649
Azioni e simili,USD,Target Corp Common Stock,2614,100461.283673324
Azioni e simili,USD,The AES Corp Common Stock,9646,84194.2426611699
Azioni e simili,USD,The Boeing Co Common Stock,3000,152164.332930557
Azioni e simili,USD,THE TRAVELERS COMPANIE,2337,88802.3455824863
Azioni e simili,USD,Time Warner Inc.,2586,57734.2099651716
Azioni e simili,USD,TRAD Glob EmMa A,56886,634402.828914635
Azioni e simili,USD,Tyco Int.,3669,98942.2560238823
Azioni e simili,USD,UBS EF Emerging Asia,2000,112275.215011728
Azioni e simili,USD,UnitedHealth Grp Common Stock,2219,56433.1651147914
Azioni e simili,USD,VANGUARD SPECIALIZED F,4700,181933.328594783
Azioni e simili,USD,Western Digital,4028,84430.8195323051
FX a termine,CAD,CAD 527,092.56 Valuta 29-10-2010,373155.582942238,373155.582942238
FX a termine,CHF,CHF -300,000.00 Valuta 29-10-2010,-223563.400590693,-223563.400590693
FX a termine,CHF,CHF -500,000.00 Valuta 29-10-2010,-372605.667651155,-372605.667651155
FX a termine,EUR,EUR 3,338,278.93 Valuta 28-10-2010,3338278.93,3338278.93
FX a termine,NOK,NOK 1,829,268.29 Valuta 29-10-2010,226257.616561669,226257.616561669
FX a termine,USD,USD -4,500,000.00 Valuta 28-10-2010,-3198521.57225105,-3198521.57225105
Investimenti alternativi,EUR,C Overlook Performance Fund,123.92,177925.5752
Investimenti alternativi,EUR,Castlerigg Int. SR S01 01/09,799.18,48358.3818
Investimenti alternativi,EUR,Castlerigg Internat. M S1 01/09,533.79,32395.7151
Investimenti alternativi,EUR,CS Fund of funds Sicav HFRX,7000,695590
Investimenti alternativi,EUR,GAM Trading II,5000,727300
Investimenti alternativi,EUR,Oconnor Global Multi Strategy Alpha,170.59,232283.8735
Investimenti alternativi,EUR,Plexus Fund B S3,198.64,13944.528
Investimenti alternativi,EUR,Reichtum Matterhorn,116.59,12236.1205
Investimenti alternativi,EUR,SC Overlook Performance Fund,11.02,17094.3342
Investimenti alternativi,EUR,Tisbury Fund B EUR New Issues,265.23,14089.0176
Investimenti alternativi,EUR,UBS Alpha Select,202.83,184438.99824
Investimenti alternativi,EUR,UBS Nulti Manager Alternative Commodities,142.24,195141.8808864
Investimenti alternativi,EUR,UBS Special Situations,500,502615
Investimenti alternativi,USD,CS Sicav Commodity Allocation,2500,187682.138033975
Investimenti alternativi,USD,ETFS Metal Securities on Gold Commodity Secured,6200,596952.164332931
Investimenti alternativi,USD,GART Appreciation Class Disc Ser June 20,1092,770741.346222191
Investimenti alternativi,USD,GART Appreciation Discretionary 01/08 USD Restricted,120.42,81114.2409552918
Investimenti alternativi,USD,GART Appreciation Discretionary 05/08 USD Restricted,680,468933.683986069
Investimenti alternativi,USD,GART Equity Edge Class Disc Ser June 201,706.1,499469.513824721
Investimenti alternativi,USD,GART Equity Edge Discretionary 05/08 Restricted,752,498985.059350345
Investimenti alternativi,USD,Harbinger Class Holdings S2,26.35,72791.6642973914
Investimenti alternativi,USD,Harbinger Class PE Holdings S.1,660.98,360511.054801336
Investimenti alternativi,USD,Man AHL Diversified,568,40925.5526334494
Investimenti alternativi,USD,RMF Inv Strat SPC SHS CL IS12 Man Glbl,1027.45,975635.672400313
Investimenti alternativi,USD,Winton Futures,1364.13,737797.598194612
Metalli preziosi,USD,XAU,3150,3086794.01521075
Opzioni su azioni,CHF,-1500 Call Actelion LTD 15-10-10 Strike 48 Premio(1620 CHF),-1500,-5589.08501476733
Opzioni su azioni,CHF,-1500 PUT Actelion LTD 15-10-10 Strike 46 Premio(2700 CHF),-1500,-11.1781700295347
Opzioni su azioni,CHF,-2500 Call ABB LTD 15-10-10 Strike 20 Premio(1650 CHF),-2500,-2943.58477444413
Opzioni su azioni,CHF,-2500 PUT ABB LTD 15-10-10 Strike 19 Premio(2450 CHF),-2500,-18.6302833825578
Opzioni su azioni,EUR,-1000 Call PORSCHE AUTOM.HLDG VZO 17-12-10 Strike 38 Premio(2400 EUR),-1000,-3860
Opzioni su azioni,EUR,-1000 PUT PORSCHE AUTOM.HLDG VZO 17-12-10 Strike 36 Premio(1980 EUR),-1000,-910
Opzioni su azioni,GBP,-3000 Call XSTRATA PLC ORD USD0.50 17-12-10 Strike 9.2 Premio(2760 GBP),-3000,-14625.1332717322
Opzioni su azioni,GBP,-3000 PUT XSTRATA PLC ORD USD0.50 17-12-10 Strike 8.4 Premio(3000 GBP),-3000,-102.512616390646
Opzioni su azioni,USD,-1000 Call Hewlett - Packard Co 19-11-10 Strike 44 Premio(2020 USD),-1000,-398.038240102353
Opzioni su azioni,USD,-1000 PUT Hewlett - Packard Co 19-11-10 Strike 42 Premio(2270 USD),-1000,-909.801691662521
Opzioni su azioni,USD,-1500 Call Amgen Inc Common Stock 15-10-10 Strike 62.5 Premio(5640 USD),-1500,-42.6469542966806
Opzioni su azioni,USD,-1500 PUT Amgen Inc Common Stock 15-10-10 Strike 57.5 Premio(4845 USD),-1500,-2899.99289217428
Opzioni su azioni,USD,-2500 Call Sony 15-10-10 Strike 30 Premio(2700 USD),-2500,-4086.99978676523
Opzioni su azioni,USD,-2500 PUT Sony 15-10-10 Strike 27.5 Premio(4575 USD),-2500,-266.543464354254
Opzioni su azioni,USD,-4000 Call Corning Inc Common Stock 19-11-10 Strike 16 Premio(4280 USD),-4000,-7278.41353330016
Opzioni su azioni,USD,-4000 PUT Corning Inc Common Stock 19-11-10 Strike 15 Premio(3680 USD),-4000,-227.45042291563
Prodotti strutturati,EUR,20101105 - 6.35% Kick-In GOAL on BNP,500000,500000
Prodotti strutturati,EUR,20110204 - 7.214% Stability Note SX5E,500000,508500
Prodotti strutturati,EUR,20110603 - 15% Triple ICE BAYN/EOAN/SIE,150000,154200
Prodotti strutturati,EUR,20110628 - 0.5% Rabobank VR,46000,44735
Prodotti strutturati,EUR,20130318 - 1.5% FRN UBS Floor + Cap,400000,397400
Prodotti strutturati,EUR,20130319 - Express Certificate UBS,100000,101100
Prodotti strutturati,EUR,20130325 - Dolphin CPN,500000,499250
Prodotti strutturati,EUR,20201231 - 8.03% HSBC Capital Funding,310000,322245
Prodotti strutturati,EUR,20201231 - BNPP Cap Trust VRN,10000,9800
Prodotti strutturati,EUR,20201231 - Cert. AUD total return MMINDEX,77,12835.9
Prodotti strutturati,EUR,20201231 - Cert. RBS Total return MMIndex,229,28199.06
Prodotti strutturati,EUR,20201231 - ET Commodities UBS,305,362645
Prodotti strutturati,EUR,20201231 - Tracker UBS JB,415,406492.5
