Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
11/25/1998,4.15,6.61,,10.771,10.37,12.929
12/2/1998,4.07,6.24,,10.833,10.29,13.261
12/9/1998,3.96,6.25,,10.846,10.35,13.516
12/16/1998,3.98,6.28,,10.886,10.45,13.855
12/23/1998,4,6.49,,11.105,10.51,13.682
12/30/1998,4.07,6.37,,11.102,10.48,13.659
1/6/1999,3.95,6.41,,10.851,10.48,13.113
1/13/1999,3.89,6.39,,10.891,10.53,15.532
1/20/1999,3.87,6.42,,10.681,10.49,14.184
1/27/1999,3.82,6.35,,10.48,10.46,14.89
2/3/1999,3.9,6.45,,10.35,10.49,14.216
2/10/1999,3.93,6.49,,10.222,10.5,14.422
2/17/1999,4,6.55,,10.223,10.52,14.117
2/24/1999,3.95,6.71,,10.314,10.64,14.524
3/3/1999,4.18,6.82,,10.505,10.77,16.08
3/10/1999,4.07,6.69,,10.491,10.72,15.158
3/17/1999,3.98,6.6,,10.401,10.66,14.783
3/24/1999,4.03,6.61,,10.22,10.64,14.887
3/31/1999,3.99,6.66,,10.183,10.6,14.512
4/7/1999,3.97,6.56,,10.031,10.5,14.153
4/14/1999,3.84,6.54,,9.981,10.4,13.61
4/21/1999,3.81,6.54,,9.936,10.37,13.455
4/28/1999,3.82,6.61,,9.883,10.37,13.659
5/5/1999,3.89,6.72,,9.794,10.23,13.482
5/12/1999,3.91,6.83,,9.824,10.33,13.72
5/19/1999,3.97,6.92,,9.853,10.44,14.494
5/26/1999,3.92,6.95,,10.212,10.52,14.541
6/2/1999,4.17,7.18,,10.232,10.6,14.955
6/9/1999,4.17,7.24,,10.28,10.63,14.772
6/16/1999,4.26,7.29,,10.336,10.69,14.565
6/23/1999,4.38,7.35,,10.277,10.71,14.527
6/30/1999,4.44,7.21,,10.07,10.69,14.299
7/7/1999,4.64,7.29,,10,10.68,14.462
7/14/1999,4.57,7.15,,9.994,10.63,14.808
7/21/1999,4.59,7.08,,10.047,10.58,14.922
7/28/1999,4.65,7.25,,10.199,10.75,14.999
8/4/1999,4.94,7.42,,10.445,10.75,15.498
