"Meteoric LP",21000000,"USD"
"MIURA Global Opportunity Fund Plc",2884937.73,"EUR"
"MLM Macro - Peak Partners LP",270797213,"USD"
"MLM Macro - Peak Partners Offshore Ltd",185647949,"USD"
"MLM Macro - Peak Select Partners LP",56201400,"USD"
"Northern Spirit (SEK)",0,"SEK"
"Northern Spirit USD",0,"USD"
"OKO Macro A",56016736.64,"EUR"
"OKO Macro B",0,"EUR"
"Olympia Global Macro 1 I EUR",7120061.44,"EUR"
"Olympia Global Macro 1 I USD",27747423,"USD"
"Optima Emerging Markets LTD B EUR",88971054.88,"EUR"
"Orsay Global Macro",858575.8,"EUR"
"Pentagram LP",35600000,"USD"
"Permal Global Opportunities Ltd A",344770200,"USD"
"Permal Systematic Macro Ltd A",134052900,"USD"
"PGAS Black Epsilon",102838500,"USD"
"Pharo Macro Ltd",1040000000,"USD"
"PI SPC",34700000,"USD"
"Pivot Global Value",692000000,"USD"
"Polar Capital Discovery A EUR",0,"EUR"
"Polar Capital Discovery A GBP",0,"GBP"
"Polar Capital Discovery A USD",97627900,"USD"
"Porcupine Global Macro Plus",0,"USD"
"Portage Fund Ltd",2316379,"USD"
"Portage Partners LP",20316380,"USD"
"Premier Global Select",11639872.62,"AUD"
"Profit Global Macro Fund",1963800,"USD"
"QFS Currency Ltd",274000000,"USD"
"QFS Fixed Income Fund, Ltd.",95000000,"USD"
"QFS Fixed Income LLC",7000000,"USD"
"QFS Fixed Income Program",119000000,"USD"
"QFS Global Macro LLC",157000000,"USD"
"QFS Global Macro Ltd",183000000,"USD"
"Quantedge Global Fund",14587000,"USD"
"Quantum Industrial Holdings Ltd",0,"USD"
"RMF Global Macro Strategies",369194,"USD"
"RMF Global Macro Strategies II",98382101,"USD"
"RTM Absolute Return",0,"AUD"
"Sibilla Capital Global",0,"USD"
"Stenham Global Macro EUR",4339837.26,"EUR"
"Stenham Global Macro GBP",3334796.18,"GBP"
"Stenham Global Macro USD",19739000,"USD"
"Stenham Quadrant Portfolio Inc",373765200,"USD"
"Stenham Trading Portfolio Inc",192072800,"USD"
"TGM GTAA",6073829488,"USD"
"The Capital Hedge Fund, Ltd.",176927650,"USD"
"The Capital Trading Fund, Ltd.",28398313,"USD"
"Thenberg Macro Hedge",889294.51,"SEK"
"Third Wave Global Macro Fund LP Class A",30338909,"USD"
"Third Wave Global Macro Fund LP Class B",21729945,"USD"
"Trading Capital Holdings NV A USD",563700000,"USD"
"Trading Capital Holdings NV B EUR",0,"EUR"
"Tricoastal Capital American Partners LP",25000,"USD"
"Trigon Macro Opportunities Ltd",34623291.14,"USD"
"Valu-Trac Strategic 2.5X USD SPC",2128330,"USD"
"Weavering Macro Fixed Income",535000000,"USD"
"Wexford Offshore Spectrum",1675600000,"USD"
"Wexford Spectrum LP",1675600000,"USD"
"Winton Evolution A",179000000,"USD"
"Winton Evolution B",45976988.14,"EUR"
"Winton Evolution C",132863.23,"JPY"
"Winton Evolution D",32497978.5,"GBP"
