"Data","Link","UK INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","SWITZERLAND IBK. 1 MTH (LDN:BBA) - OFFERED RATE","EURO INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","JAPAN INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","CANADA INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","AUSTRALIA INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE"
1991-04-01,1991-04-30,-0.00542538856303671,-0.00201858198507732,,-0.00150138518016853,-0.00279387598954043,-0.00442003950626389
1991-05-01,1991-05-31,-0.00491147426497851,-0.00217436407887270,,-0.00186402994997275,-0.00263968477077322,-0.00444720972902867
1991-06-01,1991-06-30,-0.00460175057811750,-0.00170873827984036,,-0.00160526145855581,-0.00232937445181793,-0.00359531186656577
1991-07-01,1991-07-31,-0.00445965177423883,-0.00155343858911183,,-0.00129469968109892,-0.00201899998696298,-0.00355640260045184
1991-08-01,1991-08-31,-0.00424080072886342,-0.00155359948390374,,-0.00124307262083488,-0.00218729671490260,-0.00346638730829783
1991-09-01,1991-09-30,-0.00439629351171988,-0.00196779101351405,,-0.00155384088859232,-0.00222642285253491,-0.00376390491889959
1991-10-01,1991-10-31,-0.00429418359124497,-0.00234339613606430,,-0.00114001463274218,-0.00244684485749010,-0.00324820980244818
1991-11-01,1991-11-30,-0.00450183161791361,-0.00239574216823302,,-0.00098488979788251,-0.00233106376114211,-0.00278369996168583
1991-12-01,1991-12-31,-0.00450136576906361,-0.00248601743946179,,-0.00090707655465915,-0.00181333106704098,-0.00252481660400015
1992-01-01,1992-01-31,-0.00544081566247428,-0.00316070627647438,,-0.00112812361395412,-0.00233263460096088,-0.00281145129508774
1992-02-01,1992-02-29,-0.00539622435061619,-0.00274704088574899,,-0.00111527549784323,-0.00233287645655264,-0.00274704088574899
1992-03-01,1992-03-31,-0.00522816109212772,-0.00300565080914236,,-0.00114113814966317,-0.00238453277675153,-0.00266925976432221
1992-04-01,1992-04-30,-0.00535077425736026,-0.00388490815198629,,-0.00051886059380207,-0.00233275552248780,-0.00265632352805769
1992-05-01,1992-05-31,-0.00531342762279875,-0.00419613639241602,,-0.00072651793543331,-0.00212617084270961,-0.00229451970481282
1992-06-01,1992-06-30,-0.00502266428061757,-0.00471271490320082,,-0.00067460628904357,-0.00171157428780830,-0.00203541053455095
1992-07-01,1992-07-31,-0.00507457592700719,-0.00450626199576990,,-0.00062276196937231,-0.00129698339884904,-0.00176348593419792
1992-08-01,1992-08-31,-0.00561908336586442,-0.00419787613430958,,-0.00057111706855960,-0.00155682439331878,-0.00181605965076535
1992-09-01,1992-09-30,-0.00543803292625734,-0.00357689399271494,,-0.00067488646299437,-0.00097325286640448,-0.00197146626759101
1992-10-01,1992-10-31,-0.00507773111730369,-0.00299535775303516,,-0.00083078046213511,-0.00419874654634960,-0.00223115931187382
1992-11-01,1992-11-30,-0.00409507349869188,-0.00260672213049586,,-0.00057120603915798,-0.00342235231624119,-0.00208851356801546
1992-12-01,1992-12-31,-0.00259161498912968,-0.00233275552248780,,0.00020761964156378,-0.00347123629128603,-0.00130960918312705
1993-01-01,1993-01-31,-0.00304683034776888,-0.00234752962286826,,-0.00051926473282257,-0.00285262505104810,-0.00201065478303831
1993-02-01,1993-02-28,-0.00285306898240629,-0.00192023309386611,,-0.00036357026395745,-0.00269765675115106,-0.00217944147293227
1993-03-01,1993-03-31,-0.00254208847435177,-0.00192013344238194,,-0.00025969304428288,-0.00202381948114963,-0.00185532835626502
1993-04-01,1993-04-30,-0.00228298755309398,-0.00190717607929834,,-0.00010388531071046,-0.00160901080570055,-0.00168680054008795
1993-05-01,1993-05-31,-0.00249040286439876,-0.00177764398934086,,-0.00010389070706963,-0.00141458757048573,-0.00168688809222397
1993-06-01,1993-06-30,-0.00217921530749888,-0.00166078510251300,,-0.00005194130633545,-0.00123288190766529,-0.00166078510251300
1993-07-01,1993-07-31,-0.00233481310828680,-0.00150528174591159,,-0.00005194400437494,-0.00103836777929560,-0.00166087130098004
1993-08-01,1993-08-31,-0.00228298755309398,-0.00129779134159828,,-0.00010388531071046,-0.00067506168992264,-0.00134966797896627
1993-09-01,1993-09-30,-0.00238663597773085,-0.00150528174591159,,0.00011687971988837,-0.00114214528042658,-0.00129779134159828
1993-10-01,1993-10-31,-0.00238663597773085,-0.00129779134159828,,0.00051958849760864,-0.00114214528042658,-0.00125888624780573
1993-11-01,1993-11-30,-0.00228298755309398,-0.00119402999260769,,0.00057156219892742,-0.00093457950727722,-0.00121997133922452
1993-12-01,1993-12-31,-0.00150481309044185,-0.00094726268654299,,0.00103912307370638,-0.00031152648227017,-0.00098616778033554
1994-01-01,1994-01-31,-0.00186818943800710,-0.00088263550290231,,0.00070147182050484,-0.00041545492911659,-0.00120694224343079
1994-02-01,1994-02-28,-0.00192023309386611,-0.00093462803418121,,0.00067555280974897,-0.00041549808429882,-0.00129785871559984
1994-03-01,1994-03-31,-0.00134924773971729,-0.00057105777022375,,0.00093516216291521,-0.00010385294432439,-0.00098616778033554
1994-04-01,1994-04-30,-0.00124539479539286,-0.00046720482589924,,0.00114297601803077,-0.00123243407249820,-0.00098606541970133
1994-05-01,1994-05-31,-0.00088208593084814,0.00003892932916507,,0.00140256120236618,-0.00143947840382610,-0.00068757917786846
1994-06-01,1994-06-30,-0.00057067263098369,0,,0.00186993613598512,-0.00124468432208682,-0.00036319298917912
1994-07-01,1994-07-31,-0.00036311762816302,0.00025945048533064,,0.00212948375586573,-0.00119260598512314,-0.00045388058547773
1994-08-01,1994-08-31,-0.00072617877562247,0.00018162712002265,,0.00197371902228012,-0.00082987556629978,-0.00041502386982943
1994-09-01,1994-09-30,-0.00010373982062304,0.00059671290800155,,0.00192113042289727,-0.00036304229841462,-0.00060932153621444
1994-10-01,1994-10-31,-0.00037595131200921,0.00093399757723788,,0.00228464713321429,0.00015560569548227,-0.00057034714946677
1994-11-01,1994-11-30,-0.00062218076357701,0.00108974868727916,,0.00228464713321429,0.00000000000000000,-0.00134756939642095
1994-12-01,1994-12-31,0.00025914120749342,0.00181540027554633,,0.00306215368379501,0.00044058001775257,-0.00119118537015312
