"currency","date","Scadenza","maturity","rate"
"GBP",2010-09-14,"12Y",144,0.0337297256250002
"GBP",2010-09-14,"15Y",180,0.0357947076000003
"GBP",2010-09-14,"1M",1,0.005675
"GBP",2010-09-14,"1W",0.25,0.0055
"GBP",2010-09-14,"1Y",12,0.00838
"GBP",2010-09-14,"20Y",240,0.0371385600000000
"GBP",2010-09-14,"25Y",300,0.037678382225
"GBP",2010-09-14,"2M",2,0.0062031
"GBP",2010-09-14,"2W",0.5,0.0055313
"GBP",2010-09-14,"2Y",24,0.0130925756249998
"GBP",2010-09-14,"30Y",360,0.037902500625
"GBP",2010-09-14,"3M",3,0.0072469
"GBP",2010-09-14,"3Y",36,0.0160892001562500
"GBP",2010-09-14,"4M",4,0.0081359
"GBP",2010-09-14,"4Y",48,0.0190397756249998
"GBP",2010-09-14,"5M",5,0.0091859
"GBP",2010-09-14,"5Y",60,0.0217671806250002
"GBP",2010-09-14,"6M",6,0.0102313
"GBP",2010-09-14,"6Y",72,0.0242452024999997
"GBP",2010-09-14,"7M",7,0.0109969
"GBP",2010-09-14,"7Y",84,0.0264982514062500
"GBP",2010-09-14,"8M",8,0.0117969
"GBP",2010-09-14,"8Y",96,0.028449515625
"GBP",2010-09-14,"9M",9,0.0125656
"GBP",2010-09-14,"9Y",108,0.0301235025000000
"JPY",2010-09-14,"10M",10,0.00623541666666667
"JPY",2010-09-14,"10Y",120,0.0114626612249997
"JPY",2010-09-14,"11M",11,0.0065015625
"JPY",2010-09-14,"12Y",144,0.0135455625000001
"JPY",2010-09-14,"15Y",180,0.0158503152360001
"JPY",2010-09-14,"1M",1,0.0014828125
"JPY",2010-09-14,"1W",0.25,0.00121666666666667
"JPY",2010-09-14,"1Y",12,0.00431916666666667
"JPY",2010-09-14,"20Y",240,0.0181617215999998
"JPY",2010-09-14,"25Y",300,0.0190397756249998
"JPY",2010-09-14,"2M",2,0.001825
"JPY",2010-09-14,"2W",0.5,0.00130538194444444
"JPY",2010-09-14,"2Y",24,0.00426453689999984
"JPY",2010-09-14,"30Y",360,0.0194234122250001
"JPY",2010-09-14,"3M",3,0.00231927083333333
"JPY",2010-09-14,"3Y",36,0.00448501759999997
"JPY",2010-09-14,"4M",4,0.00321281111111111
"JPY",2010-09-14,"4Y",48,0.00498620010000028
"JPY",2010-09-14,"5M",5,0.00375138888888889
"JPY",2010-09-14,"5Y",60,0.00568806560000001
"JPY",2010-09-14,"6M",6,0.00435972222222222
"JPY",2010-09-14,"6Y",72,0.0066409892249999
"JPY",2010-09-14,"7M",7,0.00494909583333333
"JPY",2010-09-14,"7Y",84,0.00779513209999982
"JPY",2010-09-14,"8M",8,0.00543697916666667
"JPY",2010-09-14,"8Y",96,0.00902024999999984
"JPY",2010-09-14,"9M",9,0.00595031111111111
"JPY",2010-09-14,"9Y",108,0.0102762656250002
"USD",2010-09-14,"10M",10,0.00696288194444444
"USD",2010-09-14,"10Y",120,0.02641
"USD",2010-09-14,"11M",11,0.00756107638888889
"USD",2010-09-14,"12Y",144,0.02856
"USD",2010-09-14,"15Y",180,0.030705
"USD",2010-09-14,"1M",1,0.00260914166666667
"USD",2010-09-14,"1W",0.25,0.00254993055555556
"USD",2010-09-14,"1Y",12,0.00443069444444444
"USD",2010-09-14,"20Y",240,0.03263
"USD",2010-09-14,"25Y",300,0.0335
"USD",2010-09-14,"2M",2,0.00277866388888889
"USD",2010-09-14,"2W",0.5,0.00255307361111111
"USD",2010-09-14,"2Y",24,0.00665
"USD",2010-09-14,"30Y",360,0.03406
"USD",2010-09-14,"3M",3,0.00295933888888889
"USD",2010-09-14,"3Y",36,0.00978
"USD",2010-09-14,"4M",4,0.00354384583333333
"USD",2010-09-14,"4Y",48,0.0131
"USD",2010-09-14,"5M",5,0.00422345555555556
"USD",2010-09-14,"5Y",60,0.01623
"USD",2010-09-14,"6M",6,0.00488572777777778
"USD",2010-09-14,"6Y",72,0.01904
"USD",2010-09-14,"7M",7,0.00543829722222222
"USD",2010-09-14,"7Y",84,0.02147
"USD",2010-09-14,"8M",8,0.0059376375
"USD",2010-09-14,"8Y",96,0.02344
"USD",2010-09-14,"9M",9,0.00641599027777778
"USD",2010-09-14,"9Y",108,0.02505
