Data,NAV
2007-08-31,99.76
2007-09-03,100.36
2007-09-04,100.54
2007-09-05,100.54
2007-09-06,100.36
2007-09-07,100.36
2007-09-10,99.92
2007-09-11,99.92
2007-09-12,99.92
2007-09-13,100.04
2007-09-14,100.04
2007-09-17,100.48
2007-09-18,100.15
2007-09-19,100.15
2007-09-20,100.15
2007-09-21,100.15
2007-09-24,101.02
2007-09-25,101.07
2007-09-26,101.07
2007-09-27,101.32
2007-09-28,101.32
2007-10-01,101.72
2007-10-02,101.95
2007-10-03,101.95
2007-10-04,101.95
2007-10-05,101.95
2007-10-08,102.26
2007-10-09,102.32
2007-10-10,102.32
2007-10-11,102.58
2007-10-12,102.58
2007-10-15,102.66
2007-10-16,102.46
2007-10-17,102.46
2007-10-18,102.18
2007-10-19,102.18
2007-10-22,101.21
2007-10-23,100.63
2007-10-24,100.63
2007-10-25,100.63
2007-10-26,100.63
2007-10-30,101.45
2007-11-01,101.45
2007-11-02,100.91
2007-11-05,100.91
2007-11-06,100.91
2007-11-07,99.7
2007-11-08,99.32
2007-11-09,99.32
2007-11-12,97.4
2007-11-13,97.25
2007-11-14,97.25
2007-11-15,98.4
2007-11-16,97.93
2007-11-19,97.2
2007-11-20,95.68
2007-11-21,95.68
2007-11-22,95.68
2007-11-23,95.68
2007-11-26,95.84
2007-11-27,95.71
2007-11-28,95.71
2007-11-29,97.04
2007-11-30,97.04
2007-12-03,97.99
2007-12-04,97.99
2007-12-05,97.99
2007-12-06,97.99
2007-12-07,98.4399999999999
2007-12-10,98.9099999999999
2007-12-11,99.3799999999999
2007-12-12,99.3799999999999
2007-12-13,100.11
2007-12-14,98.79
2007-12-17,98.92
2007-12-18,98.92
2007-12-19,98.92
2007-12-20,97.17
2007-12-26,97.17
2007-12-27,97.17
2007-12-28,97.7699999999999
2008-01-01,97.7699999999999
2008-01-02,97.7699999999999
2008-01-03,97.7699999999999
2008-01-04,97.17
2008-01-07,94.7399999999999
2008-01-08,94.56
2008-01-09,95.3299999999999
2008-01-10,95.2199999999999
2008-01-11,95.2199999999999
2008-01-14,93.93
2008-01-15,93.93
2008-01-16,93.9899999999999
2008-01-17,91.2
2008-01-18,91.2
2008-01-21,89.95
2008-01-22,86.81
2008-01-23,86.95
2008-01-24,85.56
2008-01-25,88.18
2008-01-28,88.23
2008-01-29,87.76
2008-01-30,87.76
2008-01-31,88.5
2008-02-01,88.5
2008-02-04,89.62
2008-02-05,89.62
2008-02-06,88.0799999999999
2008-02-07,88.0799999999999
2008-02-08,87.2399999999999
2008-02-11,87.34
2008-02-12,87.34
2008-02-13,87.9699999999999
2008-02-14,87.9699999999999
2008-02-15,88.39
2008-02-18,87.2
2008-02-19,88.26
2008-02-20,88.04
2008-02-21,87.6
2008-02-22,87.6
2008-02-25,87.54
2008-02-27,88.75
2008-02-29,89.6
2008-03-03,89.6
2008-03-04,86.1099999999999
2008-03-05,86.1099999999999
2008-03-06,85.71
2008-03-07,85.3599999999999
2008-03-10,84.76
2008-03-11,84.76
2008-03-12,84.7699999999999
2008-03-13,85.21
2008-03-14,85.21
2008-03-17,84.17
2008-03-19,83.65
2008-03-28,83.65
2008-03-31,84.39
2008-04-01,84.39
2008-04-02,84.39
2008-04-03,85.65
2008-04-04,85.65
2008-04-07,85.6
2008-04-08,86.03
2008-04-09,86.03
2008-04-10,85.65
2008-04-11,85.65
2008-04-14,85.4
2008-04-15,85.0799999999999
2008-04-17,85.37
2008-04-18,85.37
2008-04-21,86.25
2008-04-22,85.7699999999999
2008-04-23,85.7699999999999
2008-04-24,86.43
2008-04-25,86.2399999999999
2008-04-28,86.2399999999999
2008-04-29,86.2399999999999
2008-05-01,86.2399999999999
2008-05-02,86.2399999999999
2008-05-05,86.2399999999999
2008-05-06,86.9899999999999
2008-05-07,86.9899999999999
2008-05-12,86.95
2008-05-13,86.76
2008-05-14,86.7999999999999
2008-05-15,86.7999999999999
2008-05-19,87.12
2008-05-20,87.2699999999999
2008-05-22,87.2699999999999
2008-05-23,87.2699999999999
2008-05-26,86.25
2008-05-27,86.17
2008-05-28,86.17
2008-05-29,86.17
2008-05-30,86.17
2008-06-02,86.64
2008-06-03,86.4099999999999
2008-06-05,86.4099999999999
2008-06-06,86.4099999999999
2008-06-09,86.4099999999999
2008-06-10,86.4099999999999
2008-06-11,86.4099999999999
2008-06-12,85.3599999999999
2008-06-13,85.21
2008-06-16,85.21
2008-06-17,85.2199999999999
2008-06-18,85.35
2008-06-19,85.35
2008-06-20,85.35
2008-06-23,85.35
2008-06-24,85.35
2008-06-25,85.35
2008-06-26,84.2399999999999
2008-06-27,84.2399999999999
2008-06-30,84.2399999999999
2008-07-01,84.2399999999999
2008-07-02,84.2399999999999
2008-07-03,84.2399999999999
2008-07-04,84.2399999999999
2008-07-08,84.2399999999999
2008-07-09,82.95
2008-07-10,82.95
2008-07-11,82.95
2008-07-14,82.95
2008-07-15,82.95
2008-07-16,80.98
2008-07-17,80.98
2008-07-18,80.98
2008-07-21,80.98
2008-07-22,80.98
2008-07-23,80.98
2008-07-24,80.98
2008-07-25,84.01
2008-07-28,84.01
2008-07-29,84.01
2008-07-30,84.01
2008-08-04,84.01
2008-08-05,84.01
2008-08-06,84.01
2008-08-07,84.01
2008-08-08,84.01
2008-08-11,84.01
2008-08-12,85.18
2008-08-13,85.18
2008-08-15,85.1
2008-08-18,85.1
2008-08-19,85.12
2008-08-20,85.12
2008-08-21,85.12
2008-08-22,84.01
2008-08-25,84.01
2008-08-26,84.32
2008-08-27,84.32
2008-08-28,84.21
2008-08-29,84.57
2008-09-01,84.57
2008-09-02,84.73
2008-09-03,84.73
2008-09-04,84.73
2008-09-05,84.17
2008-09-08,84.17
2008-09-09,84.17
2008-09-10,84.8799999999999
2008-09-11,84.75
2008-09-12,84.75
2008-09-15,84.75
2008-09-17,83.46
2008-09-18,83.46
2008-09-19,81.06
2008-09-22,81.06
2008-09-23,81.06
2008-09-24,82.23
2008-09-25,82.23
2008-09-26,82.62
2008-09-29,82.62
2008-09-30,82.62
2008-10-01,82.62
2008-10-02,82.62
2008-10-03,80.54
2008-10-06,80.85
2008-10-07,80.85
2008-10-08,80.85
2008-10-09,80.85
2008-10-10,73.4
2008-10-13,73.4
2008-10-14,73.95
2008-10-15,75.9
2008-10-16,75.9
2008-10-17,71.87
2008-10-20,73.31
2008-10-21,74.67
2008-10-22,74.4899999999999
2008-10-23,72.5799999999999
2008-10-24,71.92
2008-10-27,70.07
2008-10-28,70.07
2008-10-29,68.54
2008-10-30,71.12
2008-10-31,71.8299999999999
2008-11-03,73.23
2008-11-04,73.84
2008-11-05,75.31
2008-11-06,75.31
2008-11-07,72.9399999999999
2008-11-10,73.17
2008-11-11,73.62
2008-11-12,71.96
2008-11-13,70.93
2008-11-14,70.7699999999999
2008-11-17,70.7699999999999
2008-11-18,70.6899999999999
2008-11-19,70.6599999999999
2008-11-20,69.64
2008-11-21,68.0799999999999
2008-11-24,67.6899999999999
2008-11-25,69.7199999999999
2008-11-26,70.25
2008-11-27,70.32
2008-12-01,71.1299999999999
2008-12-02,70.0199999999999
2008-12-03,70.15
2008-12-04,70.73
2008-12-08,70.28
2008-12-09,72.1299999999999
2008-12-10,72.12
2008-12-11,72.3599999999999
2008-12-12,72.4899999999999
2008-12-15,71.57
2008-12-16,71.1299999999999
2008-12-17,71.23
2008-12-18,70.3599999999999
2008-12-19,70.04
2008-12-22,70.34
2008-12-26,69.65
2008-12-29,68.89
2008-12-31,69.5799999999999
2009-01-06,72.34
2009-01-07,72.89
2009-01-08,72.17
2009-01-09,71.73
2009-01-12,71.53
2009-01-13,70.7699999999999
2009-01-14,70.0499999999999
2009-01-15,68.37
2009-01-16,67.93
2009-01-19,68.3799999999999
2009-01-20,68.0799999999999
2009-01-21,67.1299999999999
2009-01-22,67.0799999999999
2009-01-23,67.1599999999999
2009-01-26,67.1599999999999
2009-01-27,67.9899999999999
2009-01-28,67.93
2009-01-29,69.06
2009-01-30,68.07
2009-02-02,67.9
2009-02-03,67.2
2009-02-04,67.43
2009-02-05,68.09
2009-02-06,67.3599999999999
2009-02-09,67.8799999999999
2009-02-10,68.03
2009-02-11,67.4899999999999
2009-02-12,67.43
2009-02-13,66.96
2009-02-16,67.09
2009-02-17,66.3499999999999
2009-02-18,64.95
2009-02-19,64.95
2009-02-20,65.23
2009-02-23,63.67
2009-02-24,62.93
2009-02-25,62.56
2009-02-26,62.56
2009-02-27,63.02
2009-03-02,63.02
2009-03-03,60.12
2009-03-04,59.56
2009-03-05,59.56
2009-03-06,59.38
2009-03-09,57.9699999999999
2009-03-10,58
2009-03-11,59.71
2009-03-12,59.71
2009-03-13,61.5399999999999
2009-03-16,62.21
2009-03-19,63.14
2009-03-20,63.39
2009-03-23,63.41
2009-03-24,64.89
2009-03-25,64.7699999999999
2009-03-26,64.7699999999999
2009-03-27,65.67
2009-03-30,64.92
2009-03-31,63.53
2009-04-01,64.32
2009-04-02,65.0199999999999
2009-04-03,66.53
2009-04-06,66.18
2009-04-07,66.07
2009-04-08,65.9399999999999
2009-04-17,67.2999999999999
2009-04-20,67.9399999999999
2009-04-21,66.95
2009-04-22,66.7999999999999
2009-04-23,67.12
2009-04-24,67.32
2009-04-27,67.9699999999999
2009-04-28,68.09
2009-04-29,67.7
2009-05-01,68.32
2009-05-04,68.32
2009-05-05,69.3599999999999
2009-05-06,69.4699999999999
2009-05-07,69.76
2009-05-08,69.84
2009-05-11,70.57
2009-05-12,70.15
2009-05-13,70.1299999999999
2009-05-14,69.3799999999999
2009-05-15,69.6599999999999
2009-05-18,69.65
2009-05-19,70.59
2009-05-21,71.0799999999999
2009-05-22,70.87
2009-05-25,70.5499999999999
2009-05-26,70.5799999999999
2009-05-27,70.5799999999999
2009-05-28,70.43
2009-06-01,70.1599999999999
2009-06-02,70.71
2009-06-03,70.93
2009-06-04,70.54
2009-06-05,70.73
2009-06-08,70.79
2009-06-09,70.6
2009-06-11,70.85
2009-06-12,71.06
2009-06-15,71.1099999999999
2009-06-16,70.37
2009-06-17,70.37
2009-06-18,69.59
2009-06-22,70.2699999999999
2009-06-24,69.4099999999999
2009-06-25,70.3299999999999
2009-06-29,70.2
2009-06-30,70.7399999999999
2009-07-01,70.4899999999999
2009-07-02,70.9399999999999
2009-07-03,70.1099999999999
2009-07-06,70.01
2009-07-07,69.98
2009-07-08,69.64
2009-07-09,69.29
2009-07-10,69.32
2009-07-13,68.87
2009-07-14,69.35
2009-07-15,69.76
2009-07-16,70.5199999999999
2009-07-17,70.73
2009-07-20,71.0799999999999
2009-07-21,71.39
2009-07-22,71.6099999999999
2009-07-23,71.6099999999999
2009-07-24,72.48
2009-07-27,72.53
2009-07-28,72.6899999999999
2009-07-29,72.3799999999999
2009-07-30,72.8599999999999
2009-07-31,73.7
2009-08-03,73.64
2009-08-04,73.73
2009-08-05,73.6599999999999
2009-08-06,73.56
2009-08-07,73.93
2009-08-10,74.43
2009-08-13,74.06
2009-08-17,74.04
2009-08-18,73.26
2009-08-19,73.59
2009-08-20,73.65
2009-08-21,74.18
2009-08-24,75.06
2009-08-25,75.43
2009-08-26,75.37
2009-08-27,75.4399999999999
2009-08-28,75.4099999999999
2009-08-31,75.5
2009-09-01,75.37
2009-09-02,74.7399999999999
2009-09-03,74.56
2009-09-04,74.4899999999999
2009-09-07,75.0199999999999
2009-09-08,75.42
2009-09-09,75.3799999999999
2009-09-10,75.62
2009-09-11,75.7
2009-09-14,75.7999999999999
2009-09-15,75.85
2009-09-16,75.93
2009-09-17,76.42
2009-09-18,76.5
2009-09-21,76.53
2009-09-22,76.39
2009-09-23,76.5499999999999
2009-09-24,76.53
2009-09-25,75.9099999999999
2009-09-28,75.7399999999999
2009-09-29,76.1899999999999
2009-09-30,76.32
2009-10-01,76.31
2009-10-02,75.7699999999999
2009-10-05,74.87
2009-10-06,75.06
2009-10-07,75.76
2009-10-08,75.9099999999999
2009-10-09,76.4699999999999
2009-10-12,76.3299999999999
2009-10-13,76.78
2009-10-14,76.54
2009-10-15,77.01
2009-10-16,76.6299999999999
2009-10-19,76.42
2009-10-20,76.81
2009-10-21,76.62
2009-10-23,76.34
2009-10-26,76.25
2009-10-28,76
2009-10-29,75.2
2009-10-30,75.78
2009-11-02,75.17
2009-11-03,75.1
2009-11-04,74.8299999999999
2009-11-05,75.28
2009-11-06,75.39
2009-11-09,75.46
2009-11-10,76.14
2009-11-11,76.04
2009-11-12,76.28
2009-11-16,76.17
2009-11-18,76.64
2009-11-19,76.59
2009-11-20,76.1
2009-11-23,75.81
2009-11-24,76.5499999999999
2009-11-25,76.43
2009-11-27,75.5199999999999
2009-11-30,75.71
2009-12-01,75.71
2009-12-02,76.17
2009-12-03,76.31
2009-12-04,76.57
2009-12-08,76.57
2009-12-09,76.5799999999999
2009-12-10,76.32
2009-12-11,76.73
2009-12-14,76.98
2009-12-15,77.17
2009-12-16,77.3299999999999
2009-12-17,77.81
2009-12-18,77.35
2009-12-22,77.3599999999999
2009-12-25,77.9
2009-12-28,77.9
2009-12-29,77.87
2010-01-04,77.7
2010-01-06,78.4
2010-01-07,78.2399999999999
2010-01-08,78.09
2010-01-11,78.3599999999999
2010-01-12,78.29
2010-01-13,77.9699999999999
2010-01-14,78
2010-01-15,78.4399999999999
2010-01-18,78.0199999999999
2010-01-21,77.9699999999999
2010-01-22,77.9699999999999
2010-01-25,76.98
2010-01-26,76.7699999999999
2010-01-27,76.9899999999999
2010-01-28,76.6899999999999
2010-01-29,76.4099999999999
2010-02-01,76.35
2010-02-02,76.85
2010-02-03,77.34
2010-02-05,75.7699999999999
2010-02-08,75.17
2010-02-09,75.39
2010-02-10,75.39
2010-02-11,75.56
2010-02-12,75.84
2010-02-15,75.85
2010-02-16,75.95
2010-02-17,76.3799999999999
2010-02-18,76.96
2010-02-19,77.2699999999999
2010-02-23,77.31
2010-02-24,76.87
2010-02-25,76.9399999999999
2010-02-26,76.57
2010-03-01,76.9
2010-03-02,77.45
2010-03-03,77.78
2010-03-04,77.98
2010-03-05,77.9699999999999
2010-03-08,78.6099999999999
2010-03-09,78.67
2010-03-10,78.84
2010-03-12,78.89
2010-03-15,78.78
2010-03-16,78.4399999999999
2010-03-17,78.7399999999999
2010-03-19,78.9
2010-03-22,78.62
2010-03-23,78.35
2010-03-24,78.46
2010-03-25,78.4399999999999
2010-03-26,78.8299999999999
2010-03-29,78.6099999999999
2010-03-30,78.85
2010-03-31,78.96
2010-04-09,79.3299999999999
2010-04-12,79.9899999999999
2010-04-13,80.0199999999999
2010-04-14,79.7999999999999
2010-04-15,80.0499999999999
2010-04-16,80.0499999999999
2010-04-19,79.6599999999999
2010-04-21,79.85
2010-04-22,79.85
2010-04-23,79.2199999999999
2010-04-26,79.2199999999999
2010-04-27,79.71
2010-04-28,78.7999999999999
2010-04-29,78.14
2010-04-30,78.64
2010-05-03,78.3299999999999
2010-05-04,78.37
2010-05-05,77.46
2010-05-06,76.9399999999999
2010-05-10,74.65
2010-05-11,77.1599999999999
2010-05-13,76.76
2010-05-14,77.29
2010-05-17,76.23
2010-05-18,76.03
2010-05-19,76.43
2010-05-20,76.17
2010-05-24,75.43
2010-05-25,75.35
2010-05-26,73.9699999999999
2010-05-27,74.2999999999999
2010-05-28,75.73
2010-05-31,75.79
2010-06-01,75.79
2010-06-03,75.7
2010-06-04,76.07
2010-06-07,75.12
2010-06-09,73.92
2010-06-10,74.26
2010-06-11,74.92
2010-06-14,74.92
2010-06-15,75.92
2010-06-16,76.25
2010-06-17,76.2999999999999
2010-06-18,76.2999999999999
2010-06-21,75.85
2010-06-23,75.71
2010-06-24,75.71
2010-06-25,74.51
2010-06-29,73.95
2010-06-30,72.67
2010-07-01,72.4899999999999
2010-07-02,71.2699999999999
2010-07-05,71.53
2010-07-06,70.96
2010-07-07,72.1899999999999
2010-07-08,72.6599999999999
2010-07-09,73.1899999999999
2010-07-12,73.6599999999999
2010-07-13,73.98
2010-07-14,74.6299999999999
2010-07-15,75.07
2010-07-16,74.57
2010-07-20,73.39
2010-07-21,72.78
2010-07-22,72.75
2010-07-23,73.64
2010-07-26,73.93
2010-07-27,74.14
2010-07-28,75.18
2010-07-29,75.03
2010-07-30,74.34
2010-08-02,74.28
2010-08-03,75.62
2010-08-04,75.84
2010-08-05,76.1099999999999
2010-08-06,75.8299999999999
2010-08-09,75.23
2010-08-10,75.9699999999999
2010-08-11,75.95
2010-08-12,74.32
2010-08-16,74.32
2010-08-17,74.32
2010-08-18,74.3599999999999
2010-08-19,74.34
2010-08-20,73.37
2010-08-23,72.51
2010-08-24,72.6099999999999
2010-08-25,71.9399999999999
2010-08-26,71.3599999999999
2010-08-27,71.59
2010-08-30,71.9699999999999
2010-08-31,71.8299999999999
2010-09-01,71.4399999999999
2010-09-02,72.93
2010-09-03,72.87
2010-09-06,73.57
2010-09-07,73.59
2010-09-08,72.9099999999999
2010-09-09,73.1299999999999
2010-09-10,73.5
2010-09-13,73.98
2010-09-14,74.01
2010-09-15,73.68
2010-09-16,73.68
2010-09-17,73.93
2010-09-20,73.4099999999999
2010-09-21,73.9099999999999
2010-09-22,73.7199999999999
2010-09-23,73.1299999999999
2010-09-24,72.5799999999999
2010-09-27,73.2699999999999
2010-09-28,73.1099999999999
2010-09-29,73.07
2010-09-30,73.0199999999999
2010-10-01,73.0199999999999
2010-10-04,73.12
2010-10-05,72.62
2010-10-06,73.2399999999999
2010-10-07,73.6299999999999
