"Cliente","Data","Return_giornaliero"
"pippo10","2010-09-09 00:00:00.000",0.00172571298772484
"pippo10","2010-09-10 00:00:00.000",0.00375786663865463
"pippo10","2010-09-13 00:00:00.000",-2.49320535741226e-05
"pippo10","2010-09-14 00:00:00.000",-0.00645335240011713
"pippo10","2010-09-15 00:00:00.000",0.00209874027642898
"pippo10","2010-09-16 00:00:00.000",0.005233132906453
"pippo10","2010-09-17 00:00:00.000",-0.00171104592368398
"pippo10","2010-09-20 00:00:00.000",-0.000111411757260371
"pippo10","2010-09-21 00:00:00.000",0.00174497667631335
"pippo10","2010-09-22 00:00:00.000",-0.00220394871516161
"pippo10","2010-09-23 00:00:00.000",-0.00330348449767737
"pippo10","2010-09-24 00:00:00.000",0.00398377182274534
"pippo10","2010-09-27 00:00:00.000",-0.000169241942539866
"pippo10","2010-09-28 00:00:00.000",0.000251422456631012
"pippo10","2010-09-29 00:00:00.000",0.00103368890501843
"pippo10","2010-09-30 00:00:00.000",0.00163307631429843
"pippo10","2010-10-01 00:00:00.000",0.000848891096387305
"pippo10","2010-10-04 00:00:00.000",-0.00413234321012257
"pippo10","2010-10-05 00:00:00.000",0.00116873473746315
"pippo10","2010-10-06 00:00:00.000",0.00124597077895672
"pippo10","2010-10-07 00:00:00.000",0.00272605865221354
"pippo10","2010-10-08 00:00:00.000",0.000466513134149915
"pippo10","2010-10-11 00:00:00.000",-0.00339748358017544
"pippo10","2010-10-12 00:00:00.000",0.000362261414464937
"pippo10","2010-10-13 00:00:00.000",0.00216955639873562
"pippo10","2010-10-14 00:00:00.000",-0.00089360459909349
"pippo10","2010-10-15 00:00:00.000",0.000180985889373320
"pippo10","2010-10-18 00:00:00.000",0.00113661240993945
"pippo10","2010-10-19 00:00:00.000",-0.00370923082536123
"pippo10","2010-10-20 00:00:00.000",0.00387254515766222
"pippo10","2010-10-21 00:00:00.000",-0.00022239791396661
"pippo10","2010-10-22 00:00:00.000",0.00583222044361809
"pippo10","2010-10-25 00:00:00.000",-0.00121527211107408
"pippo10","2010-10-26 00:00:00.000",0.00258003100924387
"pippo10","2010-10-27 00:00:00.000",-0.00154524250622257
"pippo10","2010-10-28 00:00:00.000",3.02242956027321e-05
"pippo10","2010-10-29 00:00:00.000",3.02233821223297e-05
"pippo10","2010-11-01 00:00:00.000",0.00647172551735009
"pippo10","2010-11-02 00:00:00.000",-0.00131572231402455
"pippo10","2010-11-03 00:00:00.000",-0.00122577808235180
"pippo10","2010-11-04 00:00:00.000",-0.00173485674133433
"pippo10","2010-11-05 00:00:00.000",-0.000964905893650503
"pippo10","2010-11-08 00:00:00.000",-0.00126133516143712
"pippo10","2010-11-09 00:00:00.000",-0.00203600889331934
"pippo10","2010-11-10 00:00:00.000",0.000789647926128678
"pippo10","2010-11-11 00:00:00.000",-0.0014455905611368
"pippo10","2010-11-12 00:00:00.000",0.000687214450602047
"pippo10","2010-11-15 00:00:00.000",-0.000239641159213488
"pippo10","2010-11-16 00:00:00.000",0.00160024959780003
"pippo10","2010-11-17 00:00:00.000",-0.000168154148714850
"pippo10","2010-11-18 00:00:00.000",0.00541693875361093
"pippo10","2010-11-19 00:00:00.000",-0.000382955482991942
"pippo10","2010-11-22 00:00:00.000",-0.00393960180419461
"pippo10","2010-11-23 00:00:00.000",-0.00181629454237209
"pippo10","2010-11-24 00:00:00.000",0.00080141366768971
"pippo10","2010-11-25 00:00:00.000",0.000802143724113247
"pippo10","2010-11-26 00:00:00.000",-0.00262424158555152
"pippo10","2010-11-29 00:00:00.000",-0.00366017610124503
"pippo10","2010-11-30 00:00:00.000",-0.000824912183280624
"pippo10","2010-12-01 00:00:00.000",0.00361818096281863
"pippo10","2010-12-02 00:00:00.000",-0.00048231366042506
"pippo10","2010-12-03 00:00:00.000",-0.000817037273749821
"pippo10","2010-12-06 00:00:00.000",0.000347479106596715
"pippo10","2010-12-07 00:00:00.000",3.05953060366626e-05
"pippo10","2010-12-08 00:00:00.000",-0.00120030512928138
"pippo10","2010-12-09 00:00:00.000",-6.13534487372558e-05
"pippo10","2010-12-10 00:00:00.000",-0.00391732845145598
"pippo10","2010-12-13 00:00:00.000",0.00153380912800194
"pippo10","2010-12-14 00:00:00.000",-0.0657168896953876
"pippo10","2010-12-15 00:00:00.000",-0.00118139471856094
"pippo10","2010-12-16 00:00:00.000",0.0672140312211678
"pippo10","2010-12-17 00:00:00.000",0.000904691029781413
"pippo10","2010-12-20 00:00:00.000",-0.00169117868828317
"pippo102","2010-05-03 00:00:00.000",-0.000313313005404048
"pippo102","2010-05-04 00:00:00.000",0.000178262642992033
"pippo102","2010-05-05 00:00:00.000",-0.000813407396654142
"pippo102","2010-05-06 00:00:00.000",0.00126900483559256
"pippo102","2010-05-07 00:00:00.000",6.66133814775094e-16
"pippo102","2010-05-10 00:00:00.000",-0.00324962371419246
"pippo102","2010-05-11 00:00:00.000",0.00343724258112443
"pippo102","2010-05-12 00:00:00.000",-5.55111512312578e-16
"pippo102","2010-05-13 00:00:00.000",-0.000281340097164406
"pippo102","2010-05-14 00:00:00.000",0.000897716505003698
"pippo102","2010-05-17 00:00:00.000",-0.00106593622614459
"pippo102","2010-05-18 00:00:00.000",-0.000367421664125289
"pippo102","2010-05-19 00:00:00.000",-0.00130403170090976
